t_rel_s,seq,x0,x1,x2,x3,x4,x5,duty_u,duty_v,duty_w
124.014214,2989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
124.112548,2990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
124.212415,2991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
124.312185,2992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
124.412126,2993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
124.512802,2994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
124.612280,2995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
124.712292,2996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
124.812306,2997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
124.912127,2998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.012246,2999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.112250,3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.212480,3001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.312116,3002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.412349,3003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.512220,3004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.612302,3005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.712303,3006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.812319,3007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
125.912478,3008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.012439,3009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.112455,3010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.212821,3011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.312165,3012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.412384,3013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.512380,3014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.612402,3015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.712748,3016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.812576,3017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
126.912699,3018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
127.012441,3019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
127.112604,3020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
