Duty,L1,L2,L3,Vin,Vdc
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.055237,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.113184,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.055237,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.055237,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.074553,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.093868,
0,0.0,0.0,0.0,26.1325,
0,0.0,0.0,0.0,26.171131,
0,0.0,0.0,0.0,26.171131,
0,0.0,0.0,0.0,26.171131,
0,0.0,0.0,0.0,26.151815,
0,0.0,0.0,0.0,26.1325,
0,0.0,0.0,0.0,26.151815,
