Duty,L1,L2,L3,Vin,Vdc
,,0.0,0.0,0.0,
0,0.0,0.0,0.0,27.755049,
0,0.0,0.0,0.0,27.349413,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,26.750616,
0,0.0,0.0,0.0,26.615402,
0,0.0,0.0,0.0,26.538137,
0,0.0,0.0,0.0,26.499506,
0,0.0,0.0,0.0,26.422243,
0,0.0,0.0,0.0,26.344978,
0,0.0,0.0,0.0,26.441559,
0,0.0,0.0,0.0,26.538137,
0,0.0,0.0,0.0,26.750616,
0,0.0,0.0,0.0,26.769932,
0,0.0,0.0,0.0,26.750616,
0,0.0,0.0,0.0,26.750616,
0,0.0,0.0,0.0,26.750616,
0,0.0,0.0,0.0,26.769932,
0,0.0,0.0,0.0,26.750616,
0,0.0,0.0,0.0,26.769932,
0,0.0,0.0,0.0,26.769932,
0,0.0,0.0,0.0,26.789248,
0,0.0,0.0,0.0,26.769932,
0,0.0,0.0,0.0,26.769932,
0,0.0,0.0,0.0,26.769932,
0,0.0,0.0,0.0,26.769932,
0,0.0,0.0,0.0,26.750616,
0,0.0,0.0,0.0,26.750616,
0,0.0,0.0,0.0,26.750616,
0,0.0,0.0,0.0,26.731297,
0,0.0,0.0,0.0,26.808563,
0,0.0,0.0,0.0,26.866512,
0,0.0,0.0,0.0,26.866512,
0,0.0,0.0,0.0,26.866512,
0,0.0,0.0,0.0,26.866512,
0,0.0,0.0,0.0,26.847197,
0,0.0,0.0,0.0,26.847197,
0,0.0,0.0,0.0,26.847197,
0,0.0,0.0,0.0,26.847197,
0,0.0,0.0,0.0,26.847197,
0,0.0,0.0,0.0,26.847197,
0,0.0,0.0,0.0,26.847197,
0,0.0,0.0,0.0,26.847197,
0,0.0,0.0,0.0,27.156252,
0,0.0,0.0,0.0,27.175568,
0,0.0,0.0,0.0,27.156252,
0,0.0,0.0,0.0,27.175568,
0,0.0,0.0,0.0,27.156252,
0,0.0,0.0,0.0,27.194883,
